Status,Date,Description,Debit,Credit
Cleared,3/11/2023,UBER TRIP 8005928996 CA null XXXXXXXXXXXX0535,57.9,
Cleared,3/10/2023,PROHIBITION NEW ORLEANS LA,8.8,
Cleared,3/10/2023,BOURBON LIVE NEW ORLEANS LA,9,
Cleared,3/10/2023,TST* MEALS FROM THE HE NEW ORLEANS LA,16.53,
Cleared,3/10/2023,TST* Gazebo Cafe New Orleans LA,10,
Cleared,3/9/2023,AUTOPAY 221205090621785RAUTOPAY AUTO-PMT,,-41
Cleared,3/9/2023,GUMBO SHOP NEW ORLEANS LA,13.24,
Cleared,3/9/2023,SAINTS AND SINNERS NEW ORLEANS LA,13.73,
Cleared,3/9/2023,PROHIBITION NEW ORLEANS LA,16.59,
Cleared,3/8/2023,RAZZOO BAR PATIO NEW ORLEANS LA,7.8,
Cleared,3/8/2023,SQ *KILLER POBOYS New Orleans LA,2.75,
Cleared,3/8/2023,SQ *KILLER POBOYS New Orleans LA,18.74,
Cleared,3/8/2023,LYFT *1 RIDE 03-07 855-865-9553 CA,37.85,
Cleared,3/8/2023,SPIRITS ON BOURBON NEW ORLEANS LA,20.75,
Cleared,3/8/2023,NOLA POBOYS 504-522-2639 LA,23.17,
Cleared,3/7/2023,"ONLINE PAYMENT, THANK YOU",,-100
Cleared,3/7/2023,"ONLINE PAYMENT, THANK YOU",,-150
Cleared,3/7/2023,CITIBANK CONDITIONAL CREDIT FOR DISPUTE,,-37.3
Cleared,3/7/2023,SAZERAC HOUSE NEW ORLEANS LA,16.42,
Cleared,3/7/2023,ALBERTOS CHEESE WINE NEW ORLEANS LA,15.97,
Cleared,3/7/2023,GUMBO SHOP NEW ORLEANS LA,67.45,
Cleared,3/6/2023,NAT'L WWII WEB TICKET 504-527-6012 LA,28.2,
Cleared,3/6/2023,CAJUN ENCOUNTERS LLC 985-6415879 LA,132.18,
Cleared,3/5/2023,FH* NEW ORLEANS HISTOR NEW ORLEANS LA,41.65,
Cleared,3/2/2023,"ONLINE PAYMENT, THANK YOU",,-150
Cleared,2/22/2023,MY BREAKTIME CAFE SAN ANTONIO TX,1.51,
Cleared,2/22/2023,MY BREAKTIME CAFE SAN ANTONIO TX,16.28,
Cleared,2/17/2023,SQ *BURNHOUSE ROOFTOP San Antonio TX,10,
Cleared,2/17/2023,SQ *BURNHOUSE ROOFTOP San Antonio TX,11,
Cleared,2/17/2023,SQ *BURNHOUSE ROOFTOP San Antonio TX,6,
Cleared,2/17/2023,MY BREAKTIME CAFE SAN ANTONIO TX,1.51,
Cleared,2/17/2023,MY BREAKTIME CAFE SAN ANTONIO TX,1.66,
Cleared,2/17/2023,MY BREAKTIME CAFE SAN ANTONIO TX,12.37,
Cleared,2/14/2023,SHELL OIL 10000976000 SAN ANTONIO TX,35.99,
Cleared,2/12/2023,OLIVE GARDEN 00018622 SAN ANTONIO TX,96.84,
Cleared,2/9/2023,AUTOPAY 221205090621785RAUTOPAY AUTO-PMT,,-41
Cleared,2/7/2023,SCHOOLCAFE 855-7292328 TX,52.25,
Cleared,1/28/2023,1617 GREAT CLIPS AT ST SAN ANTONIO TX,20,
Cleared,1/28/2023,CIRCLE K #2741035 SAN ANTONIO TX,44.04,
Cleared,1/18/2023,SCHOOLCAFE 855-7292328 TX,37.25,
Cleared,1/13/2023,WAL-MART #1198 SAN ANTONIO TX,4.72,
Cleared,1/13/2023,MY BREAKTIME CAFE SAN ANTONIO TX,11.78,
Cleared,1/13/2023,STARBUCKS STORE 26159 SAN ANTONIO TX,13.53,
Cleared,1/12/2023,MY BREAKTIME CAFE SAN ANTONIO TX,1.51,
Cleared,1/12/2023,MY BREAKTIME CAFE SAN ANTONIO TX,13.29,
Cleared,1/11/2023,MY BREAKTIME CAFE SAN ANTONIO TX,1.66,
Cleared,1/10/2023,MY BREAKTIME CAFE SAN ANTONIO TX,4.5,
Cleared,1/10/2023,MY BREAKTIME CAFE SAN ANTONIO TX,8.41,
Cleared,1/10/2023,SPECTRUM 855-707-7328 MO null XXXXXXXXXXXX4515,80.01,
Cleared,1/9/2023,AUTOPAY 221205090621785RAUTOPAY AUTO-PMT,,-41
Cleared,1/9/2023,THE EAR INSTITUTE OF T SAN ANTONIO TX,56,
Cleared,1/3/2023,THE EAR INSTITUTE OF T SAN ANTONIO TX,60.72,
